510 126781
Bacelar Antonio_Andrade 56
Bacelar Saulo_Pedroso 28
Bacelar Hélio_Leite 42
Bacelar Antônia_Lúcia 56
Bacelar Jeferson_Rodrigues 50
Bacelar Pedro_Lucas_Fernandes 44
Bacelar Carlos_Veras 58
Bacelar Fred_Linhares 58
Bacelar Covatti_Filho 38
Bacelar Bandeira_de_Mello 58
Bacelar Valmir_Assunção 38
Bacelar Paulo_Azi 38
Bacelar Tião_Medeiros 46
Bacelar Átila_Lins 40
Bacelar Samuel_Viana 50
Bacelar Jonas_Donizette 58
Bacelar Célio_Studart 42
Bacelar Jandira_Feghali 58
Bacelar Luciano_Azevedo 28
Bacelar Franciane_Bayer 40
Bacelar Dandara 52
Bacelar Paulão 42
Bacelar Adriano_do_Baldy 56
Bacelar Maria_Rosas 50
Bacelar Ossesio_Silva 56
Bacelar Josivaldo_JP 48
Bacelar Newton_Bonin 56
Bacelar Camila_Jara 56
Bacelar Júlio_Oliveira 56
Bacelar Juninho_do_Pneu 48
Bacelar Neto_Carletto 56
Bacelar Fausto_Pinato 52
Bacelar Socorro_Neri 40
Bacelar Charles_Fernandes 42
Bacelar Pastor_Henrique_Vieira 56
Bacelar Lula_da_Fonte 54
Bacelar Gustinho_Ribeiro 54
Bacelar Otto_Alencar_Filho 38
Bacelar Daiana_Santos 56
Bacelar Professora_Luciene_Cavalcante 48
Bacelar Da_Vitoria 54
Bacelar Bebeto 58
Bacelar Adail_Filho 58
Bacelar Murilo_Galdino 44
Bacelar Alfredinho 56
Bacelar Miguel_Ângelo 40
Bacelar Yury_do_Paredão 28
Bacelar Doutor_Luizinho 2
Bacelar Alberto_Mourão 12
Bacelar Luiz_Fernando_Vampiro 28
Bacelar Luciano_Ducci 52
Bacelar Helena_Lima 44
Bacelar Ana_Paula_Lima 50
Bacelar Ronaldo_Nogueira 36
Bacelar Fabio_Schiochet 40
Bacelar Fábio_Henrique 50
Bacelar Josias_Gomes 50
Bacelar Amanda_Gentil 38
Bacelar Alex_Santana 38
Bacelar Silas_Câmara 24
Bacelar Keniston_Braga 40
Bacelar Vinicius_Carvalho 54
Bacelar Tadeu_Veneri 46
Bacelar Rubens_Otoni 40
Bacelar Airton_Faleiro 56
Bacelar Gutemberg_Reis 50
Bacelar Zeca_Dirceu 46
Bacelar Josimar_Maranhãozinho 6
Bacelar Detinha 6
Bacelar João_Daniel 48
Bacelar Leur_Lomanto_Júnior 36
Bacelar Henderson_Pinto 50
Bacelar Zezinho_Barbary 34
Bacelar José_Nelto 44
Bacelar Joseildo_Ramos 48
Bacelar Flávia_Morais 44
Bacelar Paulinho_Freire 14
Bacelar Dilceu_Sperafico 38
Bacelar Lafayette_de_Andrada 22
Bacelar Elisangela_Araujo 28
Bacelar Luiz_Carlos_Motta 30
Bacelar Fábio_Teruel 18
Bacelar Dr._Francisco 34
Bacelar Michele_Collins 26
Bacelar Giacobo 2
Bacelar Aureo_Ribeiro 26
Bacelar Wilson_Santiago 34
Bacelar Marcos_Soares 16
Bacelar General_Girão 6
Bacelar Moses_Rodrigues 14
Bacelar Marx_Beltrão 26
Bacelar Nely_Aquino 34
Bacelar Paulinho_da_Força 18
Bacelar Luiz_Carlos_Hauly 32
Bacelar Paulo_Litro 36
Bacelar Daniel_Agrobom 24
Bacelar Coronel_Assis 26
Bacelar Evair_Vieira_de_Melo 18
Bacelar Pezenti 24
Bacelar Dra._Alessandra_Haber 12
Bacelar Messias_Donato 18
Bacelar Osmar_Terra 16
Bacelar Capitão_Alden 8
Bacelar Dayany_Bittencourt 30
Bacelar Rodrigo_Valadares 20
Bacelar Kim_Kataguiri 28
Bacelar Carmen_Zanotto 26
Bacelar Sargento_Fahur 24
Bacelar Luiz_Nishimori 34
Bacelar Pastor_Diniz 22
Bacelar Soraya_Santos 4
Bacelar Delegado_Caveira 8
Bacelar Rosana_Valle 12
Bacelar Reginaldo_Lopes 24
Bacelar Helio_Lopes 8
Bacelar General_Pazuello 8
Bacelar Lincoln_Portela 10
Bacelar Nelson_Barbudo 10
Bacelar Luiz_Lima 6
